#{"t_start": 1605487278.9837074, "env_id": "PnPBaxter-v0"}
r,l,t
27.307743,43,7.729065
15.711081,25,14.330981
14.215994,23,20.778749
22.689164,34,28.035384
7.863333,14,34.020521
5.227757,9,40.252167
6.846955,12,46.249682
5.779827,10,52.12756
6.006195,10,58.171167
7.17148,12,64.285989
7.255612,12,70.584433
6.010137,10,76.712081
6.576649,11,82.585397
9.953387,17,88.7936
14.657144,25,95.685863
7.741828,13,102.524086
23.738714,41,109.367955
6.023174,10,116.719256
5.309524,9,122.782156
5.289594,9,128.465617
5.366394,9,134.336222
10.618012,18,140.57892
8.37344,14,147.228863
59.258384,96,155.457441
0.581003,1,173.206315
8.3232,14,178.999309
8.267008,14,185.361846
11.180015,19,191.544167
7.894568,13,198.100055
29.625872,51,204.998688
8.478246,14,212.526321
10.866389,18,218.877492
6.023456,10,224.799495
7.279741,12,230.45856
7.30115,12,236.554637
25.717913,43,243.315992
71.298218,123,252.894231
7.198334,12,260.999728
15.084699,24,267.500813
23.57742,40,274.570869
16.458012,26,281.85508
19.081688,31,289.119248
46.710815,77,297.605116
0.577168,1,315.244823
12.933742,22,321.337709
11.444187,19,328.26691
36.051918,60,336.057187
8.620673,14,343.329417
30.964795,50,350.372385
29.590895,48,358.648031
28.29333,46,366.877901
9.100434,15,374.06796
11.034414,18,380.443188
13.106884,22,387.182757
11.226508,19,393.824183
8.152815,13,400.352661
11.591435,19,406.292606
21.727065,35,413.353615
23.944026,39,420.603436
17.741404,29,427.280912
14.853398,25,433.827984
12.792717,21,440.770513
60.2236,99,449.11287
10.993941,18,456.260279
10.321749,17,462.44111
47.961594,80,470.302738
30.234728,50,478.468753
8.491496,14,485.784123
13.95923,23,492.33409
14.061419,23,499.256253
27.834847,45,506.596227
0.624049,1,524.068582
15.204814,25,530.201383
42.639125,70,538.045724
24.948896,40,546.058363
31.06422,49,553.543434
44.937195,71,561.724035
10.997086,18,568.964272
10.445511,17,575.533631
16.524779,27,582.033816
14.912753,25,588.108177
16.862356,28,594.195332
39.914544,64,601.924162
19.974426,32,620.31883
17.892963,30,627.771809
12.774726,21,634.241103
50.107558,80,641.555622
60.369489,100,651.222914
43.821545,70,660.406501
12.338139,20,667.928586
22.8862,37,674.364134
38.207267,67,682.41735
28.150231,46,690.651455
20.367805,33,698.150693
8.765513,14,705.219933
12.449485,20,711.294606
19.142261,31,718.045942
16.396973,27,725.109389
40.406629,66,732.768858
23.827369,38,740.900087
0.595081,1,758.394941
0.599004,1,775.681751
28.38428,46,782.138706
11.792353,19,789.542343
21.308813,36,796.63667
23.073635,39,803.883451
17.045058,28,811.092685
49.874144,84,819.363973
12.194351,21,826.167269
12.307776,21,832.987167
14.510234,25,839.758806
22.302815,38,846.964824
18.547956,32,854.347067
22.843752,39,861.159699
16.791301,29,868.256416
11.293371,19,875.232744
16.417729,28,882.286174
8.644944,14,889.318242
9.571748,16,895.382637
20.670251,35,902.301345
11.418358,19,909.72875
51.068072,84,917.732997
25.616512,42,925.84151
9.951788,16,932.932502
15.465531,25,939.641726
23.988426,39,946.66261
39.505628,63,954.702547
29.903421,48,963.039784
26.878993,43,971.136406
58.344323,96,979.878262
46.505123,75,988.582916
40.381742,65,997.086093
36.226736,60,1005.462207
33.008031,54,1013.585018
24.489617,41,1021.527829
48.039702,80,1029.809671
36.124714,61,1038.045962
22.455569,37,1045.72715
19.820609,33,1052.946944
66.037376,113,1061.403582
24.061018,39,1069.463451
23.325582,40,1076.704947
70.04236,117,1085.723425
33.730649,56,1094.270734
22.3453,36,1101.583263
58.659081,96,1110.064358
40.408854,65,1118.772979
48.457253,84,1127.44707
6.013179,10,1134.629941
15.032363,25,1140.860069
33.820878,57,1148.111932
6.7051,11,1154.948558
14.31125,23,1161.060649
6.725721,11,1167.119434
15.611234,26,1173.265063
7.958942,13,1179.730824
6.665599,11,1185.28116
28.64057,48,1191.930202
6.094874,10,1198.590173
34.248216,55,1205.444285
8.520755,14,1212.48722
21.490272,35,1218.680171
21.470608,35,1225.66182
20.896181,35,1232.993636
26.695351,45,1240.205524
19.247605,31,1247.60564
20.498765,33,1255.045525
26.210922,43,1262.167114
